text,merek,jenis_produk,kandungan,manfaat
glad2glow centella salicylic acid jerawat gel cleanser facial wash untuk kulit,glad2glow,"gel cleanser, facial wash",centella salicylic acid,"untuk kulit, jerawat"
avoskin skin bae hyaluron hyacross 3 green tea,"avoskin, skin bae",,hyaluron hyacross 3 green tea,
dermaster lavijue serum,dermaster lavijue,serum,,
aizen scar barrier combo,aizen,,,scar barrier combo
safi white expert deep exfoliator,safi,deep exfoliator,,white expert
wardah bright moisturizer spf,wardah,moisturizer,,"bright, spf"
serum wajah pria wanita white glowing,,serum wajah,,pria wanita white glowing
kanebo wash,kanebo,wash,,
skintific retinol renewal serum,skintific,serum,retinol,renewal
nivea body uv white,nivea,,,body uv white
isntree green tea fresh toner,isntree,toner,green tea,fresh
pyunkang yul calming moisturizer repair,pyunkang yul,moisturizer,,"calming, repair"
wardah moisturizer,wardah,moisturizer,,
biore,biore,,,
glad2glow centella ceramide soothing toner,glad2glow,toner,centella ceramide,soothing
skintific clear skin,skintific,,,clear skin
bio essence,bio,essence,,
face serum retinol anti - aging,,face serum,retinol,anti - aging
haruharu black rice sunscreen,haruharu,sunscreen,black rice,
cleya beauty radiant skin moisturizer,cleya beauty,moisturizer,,radiant skin
esther moisturizing lotion,esther,lotion,,moisturizing
sk ii ultimate perfecting serum,sk ii,serum,,ultimate perfecting
natur e white bright glow melembabkan mencerahkan kulit vitamin gluthatione niacinamide serum sunscreen spf 45 pa,natur e,"serum, sunscreen",vitamin gluthatione niacinamide,"spf 45 pa, melembabkan mencerahkan kulit, white bright glow"
d alba tone up sun cream,d alba,tone up sun cream,,
wardah amino foaming cleanser tranexamic dark spot gel,wardah,"gel, foaming cleanser","tranexamic, amino",dark spot
npure probiotics gel cleanser wajah untuk membersihkan minyak kotoran menjaga skin barrier cocok kulit sensitif jerawat,npure,gel cleanser wajah,probiotics,untuk membersihkan minyak kotoran menjaga skin barrier cocok kulit sensitif jerawat
implora ceramide skin barrier moisturizing gel,implora,moisturizing gel,ceramide,skin barrier
somethinc advanced renewal serum,somethinc,serum,,advanced renewal
pumpkinu skin tonic,pumpkinu,skin tonic,,
lacoco intensive treatment eye serum,lacoco,serum,,intensive treatment eye
somethinc sunscreen spf 40 pa charlotte,somethinc,sunscreen,charlotte,spf 40 pa
some mi low ph gel cleanser,some mi,gel cleanser,,low ph
garnier light complete night yoghurt sleeping mask,garnier,sleeping mask,yoghurt,light complete night
elizabeth arden cream skin protectant,elizabeth arden,cream,,skin protectant
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa
pyunkang yul black tea toner,pyunkang yul,toner,black tea,
erha acneact post jerawat spot serum wanita,erha,serum,,"acneact post jerawat spot, wanita"
abib jerawat foam cleanser heartleaf,abib,foam cleanser,heartleaf,jerawat
aizen retinal repair sun combo facial,aizen,facial,retinal,repair sun combo
viva pelembab under make up,viva,pelembab,,under make up
beauty of joseon glow serum propolis niacinamide,beauty of joseon,serum,propolis niacinamide,glow
sheetmasks elformula bright protect antiox serum cerahydro physical sunscreen spf 50 pa,elformula,"serum, sunscreen, sheetmasks",,"bright protect antiox, cerahydro physical, spf 50 pa"
wardah low ph niacinamide molecular hyaluronic facial wash sabun cuci wajah cleansing cleanser terhidrasi bersih,wardah,"cleanser, facial wash, sabun cuci wajah",niacinamide molecular hyaluronic,"low ph, terhidrasi bersih, cleansing"
wardah make up barrier revive glow youth renewal matte perfection radiant touch,wardah,,,"glow youth renewal matte perfection radiant touch, revive, make up barrier"
cetaphil cleanser,cetaphil,cleanser,,
viva milk cleanser spirulina facial wajah kotoran pembersihan,viva,cleanser,"milk, spirulina",facial wajah kotoran pembersihan
safi white expert cleanser toner,safi,cleanser toner,,white expert
biore men scrub white,biore men,scrub,,white
caudalie deep hydration moisturizer,caudalie,moisturizer,,deep hydration
diri essentials anti - aging magic prevention mencegah flek hitam wajah tanda penuaan dini,diri,essentials,,anti - aging magic prevention mencegah flek hitam wajah tanda penuaan dini
caudalie night cream malam anti - aging,caudalie,cream,,"malam anti - aging, night"
bio beauty lab serum,bio beauty lab,serum,,
caudalie dark spot correcting glycolic night cream malam anti noda hitam,caudalie,cream,glycolic,"dark spot correcting, malam anti noda hitam, night"
hyaluronic acid sodium hyaluronate 250gram,,,hyaluronic acid sodium hyaluronate 250gram,
skintific salicylic acid anti jerawat serum treatment untuk bruntusan exfoliating,skintific,serum,salicylic acid,"anti jerawat, treatment untuk bruntusan exfoliating"
haruharu black rice facial oil,haruharu,facial oil,black rice,
iswhite brilliantly bright foam niacinamide vitamin c glutathione facial wash sabun cuci wajah mencerahkan face cleanser low ph white jerawat glowing,iswhite brilliantly,"face cleanser, facial wash, foam, sabun cuci wajah",niacinamide vitamin c glutathione,"bright, mencerahkan, low ph white jerawat glowing"
ultima ii hydra botanic sun protection spf,ultima ii,hydra botanic,,sun protection spf
acnes natural care face wash complete white,acnes natural care,face wash,,complete white
martiderm hydra 30 ampoules,martiderm,,,"hydra, 30 ampoules"
safi hydrating water drop moisturizer,safi,moisturizer,,hydrating water drop
acnes natural care face wash oil control,acnes natural care,face wash,,oil control
wardah light hydrashot intensive moisturizer,wardah,moisturizer,,light hydrashot intensive
hanasui flawless glow 10 night cream,hanasui,cream,,flawless glow 10 night
acnes creamy wash face,acnes,creamy wash face,,
scarlett white brightly essence toner,scarlett,essence toner,,white brightly
benton heartleaf cream,benton,cream,heartleaf,
diri essentials face glow booster mencerahkan wajah lebih glowing,diri,essentials,,face glow booster mencerahkan wajah lebih glowing
esther glowing serum wajah kulit berminyak,esther,serum,,"glowing, wajah kulit berminyak"
bio beauty lab glycolic brightening cleanser,bio beauty lab,cleanser,glycolic,brightening
hyaluronic acid sodium hyaluronate,,,hyaluronic acid sodium hyaluronate,
glad2glow centella ceramide soothing toner,glad2glow,toner,centella ceramide,soothing
nivea facial foam sparkling bright sabun cuci wajah wanita mencerahkan brightening glowing kulit kenyal bintik hitam kusam cleanser wash pearl serum rucinol licorice vitamin c,nivea,"sabun cuci wajah wanita, serum, facial foam, cleanser wash","rucinol licorice vitamin c, pearl","mencerahkan brightening glowing kulit kenyal bintik hitam kusam, sparkling bright"
pigeon teens hydra squad serum,pigeon teens,serum,,hydra squad
qiansoto premiere beaute niacinamide centella cream white glow brightening night,qiansoto premiere beaute,cream,niacinamide centella,white glow brightening night
amaterasun uv sunscreen serum spf 50 pa,amaterasun,sunscreen serum,,"uv, spf 50 pa"
beauty of joseon apricot blossom peeling gel,beauty of joseon,peeling gel,apricot blossom,
bio oil,bio oil,,,
innisfree vitamin c green tea enzyme brightening serum pencerah noda hitam,innisfree,serum,vitamin c green tea enzyme,"pencerah noda hitam, brightening"
2 nivea men facial foam bright oil clear pore minimizing sabun cuci wajah pria mencerahkan minyak berlebih berminyak kulit kusam cleanser mengecilkan pori komedo polusi debu kotoran vitamin c,2 nivea men,"sabun cuci wajah pria, facial foam, cleanser",vitamin c,"bright oil clear pore minimizing, mencerahkan minyak berlebih berminyak kulit kusam, mengecilkan pori komedo polusi debu kotoran"
tavi niacinamide zinc bright blemish solution serum,tavi,serum,niacinamide zinc,bright blemish solution
elvicto anti jerawat face wash,elvicto,face wash,,anti jerawat
pyunkang yul low ph pore deep cleansing foam,pyunkang yul,cleansing foam,,low ph pore deep
sk ii skinpower essence,sk ii,essence,,skinpower
sk ii facial treatment gentle cleanser,sk ii,gentle cleanser,,facial treatment
b erl hydra stay alis eyebrow eyeliner mascara,b erl,alis eyebrow eyeliner mascara,,hydra stay
avoskin retinol ampoule serum,avoskin,serum,retinol,ampoule
avoskin hydro burst moisturizer,avoskin,moisturizer,,hydro burst
clinelle calm care treatment cream,clinelle,cream,,calm care treatment
bio beauty lab jerawat treatment facial oil serum,bio beauty lab,facial oil serum,,jerawat treatment
acnes sealing jell,acnes,sealing jell,,
mary may blackberry serum,mary may,serum,blackberry,
physiogel lotion,physiogel,lotion,,
pyunkang yul calming moisturizer serum,pyunkang yul,moisturizer serum,,calming
hanasui ceramide probiotic peeling gel,hanasui,peeling gel,ceramide probiotic,
some mi repair cream,some mi,cream,,repair
pond white pollution toxx facial foam,pond,facial foam,,"white pollution, toxx"
skintific acid anti jerawat gel moisturizer pelembab wajah untuk kulit menghilangkan bekas cocok beruntusan,skintific,gel moisturizer pelembab wajah,acid,"untuk kulit menghilangkan bekas cocok beruntusan, anti jerawat"
nivea,nivea,,,
nivea men facial foam bright oil clear pore minimizing sabun cuci wajah pria mencerahkan minyak berlebih berminyak kulit kusam cleanser mengecilkan pori komedo polusi debu kotoran vitamin c,nivea men,"sabun cuci wajah pria, facial foam, cleanser",vitamin c,"bright oil clear pore minimizing, mencerahkan minyak berlebih berminyak kulit kusam, mengecilkan pori komedo polusi debu kotoran"
natur e advanced re juve glow vitamin astaxanthin peptide meningkatkan produksi kolagen wajah serum sunscreen spf 45 pa,natur e,"serum, sunscreen",vitamin astaxanthin peptide,"meningkatkan produksi kolagen wajah, spf 45 pa, advanced re juve glow"
aizen jerawat sun combo,aizen,,,jerawat sun combo
haruharu black rice serum,haruharu,serum,black rice,
safi naturals clarifying toner,safi,toner,,naturals clarifying
wardah uv shield tone up sunscreen spf 50 pa cushion matte finish tahan lama 18 jam,wardah,"tone up sunscreen, cushion",,"matte finish tahan lama, uv shield, 18 jam, spf 50 pa"
natur e advanced intensive firming serum age rejuve glow moisturizer gel menutrisi memperbaiki kulit astaxanthin vitamin,natur e,"moisturizer gel, serum",astaxanthin vitamin,"age rejuve glow, advanced intensive firming, menutrisi memperbaiki kulit"
esther milk cleanser,esther,cleanser,milk,
esther clean wash sabun wajah kulit berminyak jerawat,esther,clean wash sabun wajah,,kulit berminyak jerawat
wardah lightening total cleansing,wardah,,,lightening total cleansing
l oreal hydrating gel cleanser,l oreal,gel cleanser,,hydrating
emina water barrier balancing gel,emina,gel,,water barrier balancing
jacquelle wash,jacquelle,wash,,
viva white soothing aloe gel cooling melembutkan,viva,,aloe gel,"white soothing, cooling melembutkan"
bragg apple toner wajah,bragg,toner wajah,apple,
garnier skin natural light brightening scrub,garnier,scrub,,skin natural light brightening
dermaster derma treatment,dermaster,,,derma treatment
adleeva daylight cream sunscreen glow up protection spf 35 pa siang,adleeva,cream sunscreen,,"glow up protection spf 35 pa siang, daylight"
suncut uv gel spf50 pa sunscreen,suncut,"gel, sunscreen",,"spf50 pa, uv"
ysb vitamin c balm moisturizing stick,ysb,"stick, balm",vitamin c,moisturizing
scarlett brightening facial wash,scarlett,facial wash,,brightening
laneige waterbank toner dry,laneige,"toner, waterbank",,dry
safi white natural anti jerawat cream,safi,cream,,white natural anti jerawat
skin game kind basic oily,skin game,,,kind basic oily
klairs supple preparation unscented facial toner,klairs supple,facial toner,,preparation unscented
biyu daily light moisturizer,biyu,moisturizer,,daily light
amaterasun brightening sunscreen spf 50 pa pencerah wajah tekstur ringan anti kusam,amaterasun,sunscreen,,"spf 50 pa pencerah wajah tekstur ringan anti kusam, brightening"
skin sake round cotton pad,skin sake round,cotton pad,,
elvicto bright up moisturizer brightening untuk kulit glowing pelembab wajah mencerahkan hydrating ringan semua jenis,elvicto,"moisturizer, pelembab wajah",,"untuk kulit glowing, semua jenis, mencerahkan hydrating, bright up, brightening, ringan"
esther cysmela memudarkan melasma flek hitam hiperpigmentasi treatment,esther,,cysmela,memudarkan melasma flek hitam hiperpigmentasi treatment
lacoco dark spot essence,lacoco,essence,,dark spot
avoskin vitamin c niacinamide mandarin orange,avoskin,,"niacinamide, vitamin c, mandarin orange",
bhumi,bhumi,,,
brightening booster,,,,brightening booster
belif the true cream aqua bomb aloe vera,belif the true,cream,aloe vera,aqua bomb
leoleo sunscreen uv filter spf 50 pa aman untuk wajah jerawat berminyak pria,leoleo,sunscreen,,"uv filter spf 50 pa aman untuk wajah jerawat berminyak, pria"
mary may citrus unshiu tremella serum,mary may,serum,citrus unshiu tremella,
isntree hyaluronic acid toner,isntree,toner,hyaluronic acid,
neogen bio peel pad,neogen bio,peel pad,,
glad2glow kiwi 3d acid jerawat moisturizer,glad2glow,moisturizer,kiwi 3d acid,jerawat
true to skin mugwort tripeptide gel cream,true to skin,gel cream,mugwort tripeptide,
anua peach serum,anua,serum,peach,
avoskin retinol toner,avoskin,toner,retinol,
skintific beautyhaul,skintific,,,beautyhaul
soft u derm hydro,soft u derm,,,hydro
torriden,torriden,,,
skintific sensitive moisturizer gel untuk kulit sensitif pelembab wajah menghidrasi barrier,skintific,"moisturizer gel, pelembab wajah",,"barrier, sensitive, menghidrasi, untuk kulit sensitif"
somethinc vitamin glutabright ferulic serum pencerah wajah anti kusam,somethinc,serum,vitamin glutabright ferulic,pencerah wajah anti kusam
innisfree greentea hyaluronic lotion untuk kulit kering,innisfree,lotion,greentea hyaluronic,untuk kulit kering
innisfree bha pore cleansing foam facial cleanser,innisfree,foam facial cleanser,bha,pore cleansing
wardah defense vitamin panthenol anti pollution radiant creamy wash,wardah,creamy wash,vitamin panthenol,"defense, anti pollution radiant"
haruharu black rice moisturizer soft cleansing gel,haruharu,"gel, moisturizer",black rice,soft cleansing
la roche posay foaming gel cleanser sabun wajah kulit jerawat berminyak,la roche posay,"foaming gel, cleanser sabun wajah",,kulit jerawat berminyak
innisfree toner untuk kulit jerawat,innisfree,toner,,untuk kulit jerawat
skintific aqua light daily sunscreen spf 35 pa,skintific,sunscreen,aqua,"spf 35 pa, light daily"
skintific glycolic acid daily clarifying toner,skintific,toner,glycolic acid,daily clarifying
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa
wardah renew eye cream,wardah,cream,,"renew, eye"
somethinc low ph gentle jelly cleanser,somethinc,gentle jelly cleanser,,low ph
l oreal uv defender serum protector matte fresh spf50 pa,l oreal,"defender serum, matte",,"uv, protector, fresh spf50 pa"
mary may sensitive soothing gel cream,mary may,gel cream,,sensitive soothing
viva face tonic lemon berminyak penyegar,viva,"penyegar, face tonic",lemon,berminyak
diri essentials boostme daily serum niacinamide zinc essence pencerah wajah kusam untuk semua jenis kulit,diri,"serum, essence, essentials","niacinamide, zinc","pencerah wajah kusam untuk semua jenis kulit, boostme daily"
organic supply co castor oil pack therapy perawatan tubuh kulit,organic supply co,castor oil pack,,therapy perawatan tubuh kulit
viva collagen night cream malam untuk mencegah penuaan dini,viva,cream,collagen,"malam untuk mencegah penuaan dini, night"
viva white moisturizer soybean,viva,moisturizer,soybean,white
benton uv defense sun cream,benton,sun cream,,uv defense
toner derma express essence,derma express,"essence, toner",,
safi age defy cream cleanser,safi,cream cleanser,,age defy
wardah white day cream,wardah,cream,,"day, white"
bioaqua tranexamic acid oligopeptide white moisturizer cleanser toner serum cream,bioaqua,moisturizer cleanser toner serum cream,tranexamic acid oligopeptide,white
rovectin essentials aqua activating serum,rovectin,"serum, essentials",,aqua activating
beauty of joseon glow deep serum rice alpha arbutin,beauty of joseon,serum,rice alpha arbutin,glow deep
heimish bulgarian hydrogel eye patch,heimish bulgarian,patch,,hydrogel eye
glowlabs soothe and shoot the spf,glowlabs,,,"soothe and shoot the, spf"
hyaluronic acid sodium hyaluronate 500gram,,,hyaluronic acid sodium hyaluronate 500gram,
avoskin skin bae kombucha niacinamide,"avoskin, skin bae",,"niacinamide, kombucha",
viva air mawar,viva,,air mawar,
esther anti - aging serum penuaan dini,esther,serum,,"penuaan dini, anti - aging"
glow better cloud skin recipe advance moisturizer,glow better cloud,moisturizer,,skin recipe advance
hose fresh brightening action face wash,hose fresh,face wash,,brightening action
skintific 12 acid peeling solution serum wajah untuk exfoliating kulit kusam aha bha pha,skintific,serum wajah,"12 acid, aha bha pha","peeling solution, untuk exfoliating kulit kusam"
tavi cica water break sun shield,tavi,,cica,water break sun shield
esther moisturizing cream,esther,cream,,moisturizing
natur e cantikmu vitamin,natur e,,vitamin,cantikmu
elizabeth arden ceramide advanced night cream,elizabeth arden,cream,ceramide,"advanced, night"
hayejin blessing of sprout wrinkle away eye cream,hayejin,cream,,blessing of sprout wrinkle away eye
animate white cream perawatan wajah,animate,cream,,"white, perawatan wajah"
hydrating barrier care jumiso hyaluronic acid toner pyunkang yul moisturizer cream,"jumiso, pyunkang yul","moisturizer cream, toner",hyaluronic acid,hydrating barrier care
avoskin panthenol mugwort cica barrier hero serum,avoskin,serum,"panthenol, mugwort cica",barrier hero
d alba white truffle double layer revitalizing serum,d alba,serum,,white truffle double layer revitalizing
wardah vitamin c amino radiant charge gel cleanser,wardah,gel cleanser,"vitamin c, amino",radiant charge
biore uv aqua rich protect lotion spf50 pa,biore,lotion,,"spf50 pa, uv aqua rich protect"
oxy jerawat cleanser face wash,oxy,cleanser face wash,,jerawat
retinol ceramide skin renewing water cream,,cream,"retinol, ceramide",skin renewing water
bright hydrate night care,,,,bright hydrate night care
amaterasun uv sunscreen cream spf 50 pa untuk semua jenis kulit,amaterasun,sunscreen cream,,"spf 50 pa untuk semua jenis kulit, uv"
dexskin glowing skin basic mencerahkan,dexskin,,,glowing skin basic mencerahkan
beauty of joseon red bean water gel,beauty of joseon,water gel,red bean,
natur e advanced age rejuve glow intensive boosting essence toner wajah astaxanthin vitamin perawatan melembabkan menjaga elastisitas kulit,natur e,essence toner wajah,astaxanthin vitamin,"perawatan melembabkan menjaga elastisitas kulit, advanced age rejuve glow intensive boosting"
haruharu black rice hyaluronic anti wrinkle serum,haruharu,serum,black rice hyaluronic,anti wrinkle
beneath bhumi berry brightening serum,beneath bhumi,serum,berry,brightening
esther eye cream mata,esther,cream,,"eye, mata"
clean clear facial wash,clean clear,facial wash,,
aizen in one skin repair sun essence toner protect,aizen in one,essence toner,,"protect, skin repair sun"
aizen,aizen,,,
wardah uv shield jerawat calming sunscreen serum spf50 pa,wardah,sunscreen serum,,"spf50 pa, uv shield jerawat calming"
erha age corrector night charge anti - aging,erha,,,"anti - aging, age corrector night charge"
clean clear oil control,clean clear,,,oil control
skintific niacinamide brightening moisturizer gel,skintific,moisturizer gel,niacinamide,brightening
cerave foaming cleanser face wash ceramide oily,cerave,"face wash, foaming cleanser",ceramide,oily
obat penghilang gumpalan lemak kelopak mata xanthelasma milia bintik dekat,,obat,,"penghilang gumpalan lemak kelopak mata, xanthelasma milia bintik dekat"
house of hur weightless sun fluid spf 50 pa,house of hur,fluid,,"spf 50 pa, weightless sun"
nivea men facial foam extra bright sabun cuci wajah pria mencerahkan bintik hitam brightening kulit kusam wash membersihkan pori terdalam polusi debu kotoran glutathione aha vitamin c,nivea men,"sabun cuci wajah pria, wash, facial foam",glutathione aha vitamin c,"mencerahkan bintik hitam brightening kulit kusam, extra bright, membersihkan pori terdalam polusi debu kotoran"
anessa uv sunscreen milk,anessa,sunscreen,milk,uv
pigeon teens facial foam daily mild cleansing,pigeon teens,facial foam,,daily mild cleansing
dear me beauty skin barrier face gel cleanser,dear me beauty,gel cleanser,,skin barrier face
hada labo shirojyun milk,hada labo shirojyun,,milk,
pigeon teens everyday sunscreen spf 35 pa,pigeon teens,sunscreen,,"spf 35 pa, everyday"
nature republic fresh peach cleansing foam,nature republic,"foam, peach",,"cleansing, fresh"
bio beauty lab essence,bio beauty lab,essence,,
carasun healthy uv protector spf 50 pa,carasun,,,"healthy, uv protector spf 50 pa"
wardah tranexamic alpha arbutin niacinamide dark spot corrector gel moisturizer,wardah,gel moisturizer,"niacinamide, tranexamic alpha arbutin",dark spot corrector
heimish bulgarian hydrogel eye patch,heimish bulgarian,patch,,hydrogel eye
wardah pentavitin rose water hydra infused toner hydrating kelopak bunga mawar memperbaiki skin barrier kulit lebih sehat lembap wajah glowing,wardah,infused toner,"rose water, pentavitin, kelopak bunga mawar","memperbaiki skin barrier kulit lebih sehat lembap wajah glowing, hydrating, hydra"
somethinc ceramic skin saviour moisturizer gel,somethinc,moisturizer gel,ceramic,skin saviour
l oreal glycolic bright anti dark spot exfoliant peel,l oreal,exfoliant peel,glycolic,bright anti dark spot
tocobo watery sun cream spf50 pa,tocobo,cream,,"spf50 pa, watery sun"
aizen barrier cleanse,aizen,cleanse,,barrier
skintific dark spot moisturizer gel,skintific,moisturizer gel,,dark spot
kahf skin energizing brightening face wash,kahf,face wash,,skin energizing brightening
viva white advance day cream spf 30 pa,viva,cream,,"spf 30 pa, white advance day"
viva pelembab green tea anti oxidant uv filter,viva,pelembab,green tea,anti oxidant uv filter
b2g3 effortles make up adaptint sunscreen oil makeup simple natural routine spf 50 pa uv protection face,b2g3,sunscreen,,"effortles make up adaptint, oil makeup simple natural routine spf 50 pa uv protection face"
innisfree apple seed cleansing cream untuk angkat kotoran make up,innisfree,cream,apple seed,"untuk angkat kotoran make up, cleansing"
skin aqua white milk spf50,skin aqua,,milk,"spf50, white"
the originote hyalucera moisturizer,the originote,moisturizer,hyalucera,
skintific ceramide barrier repair moisturizer gel,skintific,moisturizer gel,ceramide,barrier repair
lore advanced lift perfection serum wajah anti - aging hilangkan kerutan efek botox,lore,serum,,"wajah anti - aging hilangkan kerutan efek botox, advanced lift perfection"
skintific salicylic acid anti jerawat serum,skintific,serum,salicylic acid,anti jerawat
allura glowing brigth mild cleanser foam,allura,cleanser foam,,glowing brigth mild
tocobo coconut cleansing foam,tocobo,foam,coconut,cleansing
klairs moisturizer soothing serum,klairs,"moisturizer, serum",,soothing
scarlett white niacinamide beta glucan phyto serum,"phyto, scarlett",serum,"niacinamide, beta glucan",white
scarlett serum phyto white,"phyto, scarlett",serum,,white
nivea body uv whtning serum spf33,nivea,serum,,"body uv whtning, spf33"
roro mendut lulur rempah white,roro mendut,lulur,rempah,white
esther kulit normal,esther,,,kulit normal
skintific centella jerawat calming toner skincare wajah untuk kulit soothing,skintific,toner skincare wajah,centella,"jerawat calming, untuk kulit soothing"
dear me beauty gentle cleanser,dear me beauty,gentle cleanser,,
asam miristat myristic acid,,,asam miristat myristic acid,
esther anti - aging,esther,,,anti - aging
foaming facial wash,,foaming facial wash,,
emina bright prebiotic tranexamic acid brightening facial cleanser,emina,facial cleanser,prebiotic tranexamic acid,"bright, brightening"
some mi beta panthenol repair cream,some mi,cream,beta panthenol,repair
facetology triple care sunscreen spf 40 pa,facetology,sunscreen,,"triple care, spf 40 pa"
organic supply co rose facial roller radiance anti - aging,organic supply co,facial roller,rose,radiance anti - aging
innisfree green tea hyaluronic moisturizer serum spf 50 pa,innisfree,"moisturizer, serum",green tea hyaluronic,spf 50 pa
finally found you hydriceing brightening essence booster serum infused toner untuk semua jenis kulit,finally found you,essence booster serum infused toner,,"untuk semua jenis kulit, hydriceing brightening"
mustika ratu penyegar gambir toner mask bengkoang,mustika ratu,toner mask,"gambir, bengkoang",penyegar
ampoule avoskin,avoskin,ampoule,,
heimish matcha hydrogel eye,heimish,,matcha,hydrogel eye
innisfree vitamin c green tea brightening serum mencerahkan wajah,innisfree,serum,vitamin c green tea,"mencerahkan wajah, brightening"
glad2glow blueberry ceramide moisturizer,glad2glow,moisturizer,"blueberry, ceramide",
caudalie gentle buffing cream exfoliating scrub,caudalie,"scrub, gentle buffing cream",,exfoliating
haruharu black rice moisturizer airyfit daily sunscreen,haruharu,"moisturizer, sunscreen",black rice,airyfit daily
belif uv protector sunscreen,belif,sunscreen,,uv protector
erha age corrector serum peptides soya phytoplacenta,erha,serum,peptides soya phytoplacenta,age corrector
beneath bhumi blueberry cream moisturizer,beneath bhumi,cream moisturizer,blueberry,
benton guava toner face mask pad,benton,toner face mask pad,guava,
skins sake fss anti jerawat essentials retinoid retinol retinal serum hocl mist untuk mengatasi meratakan tekstur menenangkan kulit sensitif,skins sake fss,"serum, mist, essentials","retinol, hocl, retinoid, retinal","anti jerawat, untuk mengatasi meratakan tekstur menenangkan kulit sensitif"
hada labo moisturizer light,hada labo,moisturizer,,light
hada labo moisturizing face wash,hada labo,face wash,,moisturizing
haruharu black rice bakuchiol eye cream,haruharu,cream,black rice bakuchiol,eye
mary may gluconolactone pha cleansing pad,mary may,pad,gluconolactone pha,cleansing
dexskin derma express skin barrier protector sleeping mask,dexskin derma express,mask,,skin barrier protector sleeping
skin sake retinal serum retinoid memudarkan garis halus kerutan menghaluskan tekstur kulit samphira oil,skin sake,serum,"samphira oil, retinoid, retinal",memudarkan garis halus kerutan menghaluskan tekstur kulit
cerave foaming cleanser face wash ceramide,cerave,"face wash, foaming cleanser",ceramide,
the originote sunscreen,the originote,sunscreen,,
clean clear foaming face wash,clean clear,foaming face wash,,
hayejin blessing serum,hayejin,serum,,blessing
aizen brightening retinal skin repair cleanse,aizen,cleanse,retinal,"skin repair, brightening"
heimish watermelon moisturizer gel cream,heimish,moisturizer gel cream,watermelon,
skintific ceramide low ph cleanser,skintific,cleanser,ceramide,low ph
some mi aha bha pha 30 days miracle jerawat clear foam,some mi,foam,aha bha pha,30 days miracle jerawat clear
momilen maternity care cream,momilen,cream,,maternity care
l oreal paris glycolic bright dark circle eye serum niacinamide,l oreal paris,serum,"glycolic, niacinamide",bright dark circle eye
cosrx cream,cosrx,cream,,
wardah moisturizer cream niacinamide brightening pelembab wajah white facial,wardah,"moisturizer cream, pelembab wajah",niacinamide,"white facial, brightening"
elvicto anti jerawat face wash,elvicto,face wash,,anti jerawat
amaterasun sunscreen spf 50 pa,amaterasun,sunscreen,,spf 50 pa
avoskin hydrating treatment essence,avoskin,essence,,hydrating treatment
facetology peeling serum,facetology,serum,,peeling
momami facial cream,momami,facial cream,,
nature soothing moisturizer aloe vera foam cleanser,nature,"foam cleanser, moisturizer",aloe vera,soothing
acnes spot care,,,,acnes spot care
innisfree green tea seed hyaluronic cream,innisfree,cream,green tea seed hyaluronic,
cetaphil bright healthy radiance brightness toner,cetaphil,toner,,bright healthy radiance brightness
cosrx niacinamide serum,cosrx,serum,niacinamide,
kojiesan cleanser toner,kojiesan,cleanser toner,,
nuface me sun shield spf,nuface me,,,sun shield spf
avoskin shield of sun essence spf 50 pa,avoskin,essence,,"shield of sun, spf 50 pa"
facetology triple care sunscreen oily skin,facetology,sunscreen,,"triple care, oily skin"
skin aqua tone up spf50 pa,skin aqua,tone up,,spf50 pa
erha retinol peeling face,erha,,retinol,peeling face
innisfree green tea seed hyaluronic serum untuk kulit glowing,innisfree,serum,green tea seed hyaluronic,untuk kulit glowing
pyunkang yul black tea eye cream,pyunkang yul,cream,black tea,eye
numbuzin beauty cream,numbuzin,cream,,beauty
somethinc ceramic skin saviour moisturizer gel,somethinc,moisturizer gel,ceramic,skin saviour
gatsby aesthetic bright sunscreen moisturizer,gatsby,sunscreen moisturizer,,aesthetic bright
benton green tea cleansing foam,benton,foam,green tea,cleansing
raisu brightening soap sabun pencerah kulit,raisu,soap sabun,,"pencerah kulit, brightening"
light brightening scrub,,scrub,,light brightening
lovillea calm bright facial wash,lovillea,facial wash,,calm bright
bioaqua ceramide,bioaqua,,ceramide,
avoskin lip optimizer serum,avoskin,lip optimizer serum,,
azarine calm my jerawat skinpair sunscreen moisturizer spf35 pa untuk kulit perlindungan uv mengurangi kemerahan menenangkan oil control menjaga skin barrier,azarine,sunscreen moisturizer,,"calm my jerawat skinpair, spf35 pa untuk kulit perlindungan uv mengurangi kemerahan menenangkan oil control menjaga skin barrier"
alonie aloe foam cleansing membersihkan,alonie,foam,aloe,cleansing membersihkan
caudalie moisturizing matifying fluid,caudalie,,fluid,moisturizing matifying
d alba mild skin balancing cream,d alba,cream,,mild skin balancing
neogen bio peel gauze pad lemon,neogen bio,peel gauze pad,lemon,
b erl glazed skin essence serum mencerahkan perawatan wajah lightening memudarkan flek hitam,b erl,essence serum,,"mencerahkan perawatan wajah lightening memudarkan flek hitam, glazed skin"
wardah amino calm soothe gel cleanser,wardah,gel cleanser,amino,calm soothe
holika moisturizer make up sun cream,holika,"moisturizer, cream",,make up sun
rose day biome gentle cleanser,biome,gentle cleanser,rose,day
