text,merek,jenis_produk,kandungan,manfaat,topik,alasan_topik_kosong,topik_label
la roche posay peeling cleanser face wash anti noda hitam,la roche posay,peeling cleanser face wash,,anti noda hitam,1.0,,Pembersih Wajah dan Perawatan Jerawat
cetaphil daily exfoliating cleanser,cetaphil,cleanser,,daily exfoliating,4.0,,Brightening dengan Bahan Aktif
labore jerawat oil correct physical sunscreen spf50 pa pertama perlindungan terkuat dari sinar uva uvb mencegah inflamasi,labore,sunscreen,,"jerawat oil correct physical, spf50 pa pertama perlindungan terkuat dari sinar uva uvb mencegah inflamasi",0.0,,Skincare Anti-Aging dan Brightening
la roche posay retinol serum,la roche posay,serum,retinol,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
la roche posay hyalu serum,la roche posay,serum,hyalu,,4.0,,Brightening dengan Bahan Aktif
the originote hyalucera moisturizer gel,the originote,moisturizer gel,hyalucera,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
leika aha bha night cream serum face soap khusus mengatasi milia angkat sel kulit mati penghilang syiringoma paling ampuh bintik putih wajah,leika,cream serum face soap,aha bha,"night, khusus mengatasi milia angkat sel kulit mati penghilang syiringoma paling ampuh, bintik putih wajah",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
facial foam glutathione cleanser wajah kolagen untuk kulit mencerahkan lembut terhidrasi,facial foam,cleanser wajah,"glutathione, kolagen",untuk kulit mencerahkan lembut terhidrasi,4.0,,Brightening dengan Bahan Aktif
hanasui serum vitamin c collagen,hanasui,serum,"vitamin c, collagen",,4.0,,Brightening dengan Bahan Aktif
poise facial foam,poise,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ovale lemon,ovale,,lemon,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah facial foam bright,wardah,facial foam,,bright,3.0,,Hidrasi dan Perawatan Kulit Sensitif
pond facial foam white,pond,facial foam,,white,3.0,,Hidrasi dan Perawatan Kulit Sensitif
serum revitalizing membantu mengurangi bopeng regenerasi kulit wajah,,serum,,"revitalizing, membantu mengurangi bopeng regenerasi kulit wajah",4.0,,Brightening dengan Bahan Aktif
toner chamomille hydrating pencerah wajah penghilang mata panda,,toner,chamomille,hydrating pencerah wajah penghilang mata panda,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
hanasui peeling serum,hanasui,serum,,peeling,4.0,,Brightening dengan Bahan Aktif
kahf men facial foam oil and jerawat care,kahf men,facial foam,,oil and jerawat care,0.0,,Skincare Anti-Aging dan Brightening
wardah facial foam lightening,wardah,facial foam,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
viva cleansing milk,viva,,milk,cleansing,1.0,,Pembersih Wajah dan Perawatan Jerawat
clean clear facial wash natural bright,clean clear,facial wash,,natural bright,3.0,,Hidrasi dan Perawatan Kulit Sensitif
pond day cream,pond,cream,,day,0.0,,Skincare Anti-Aging dan Brightening
wardah pure olive oil,wardah,,pure olive oil,,0.0,,Skincare Anti-Aging dan Brightening
leika glowing day cream night mencerahkan perawatan wajah berminyak niacinamide menyembuhkan mengencangkan,leika,cream,niacinamide,"glowing day, night, mencerahkan perawatan wajah berminyak, menyembuhkan mengencangkan",1.0,,Pembersih Wajah dan Perawatan Jerawat
leika aha bha night cream serum glowing day,leika,cream serum,aha bha,"night, glowing day",3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial foam bright oil control,wardah,facial foam,,bright oil control,3.0,,Hidrasi dan Perawatan Kulit Sensitif
fairnlovely,fairnlovely,,,,,entitas tidak dikenali dictionary LDA,
wardah moisturizer defense mousse,wardah,moisturizer,,defense mousse,4.0,,Brightening dengan Bahan Aktif
garnier men anti spot polution,garnier men,,,"anti spot, polution",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
banana boat long wearing moisturizer sunscreen spf,banana boat,moisturizer sunscreen,,"long wearing, spf",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah brght night cream,wardah,cream,,brght night,1.0,,Pembersih Wajah dan Perawatan Jerawat
banana boat ultra protect ultramist sunscreen spf 50,banana boat,sunscreen,,"ultra protect ultramist, spf 50",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
hadalabo tamagohada facial foam,hadalabo tamagohada,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
sabun wajah facial wash kopi,,sabun wajah facial wash,kopi,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
nivea men vitamin scrub extra bright,nivea men,scrub,vitamin,extra bright,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
facial wash madu sr12 cleanser wajah lembut melembapkan menenangkan kulit,,"facial wash, cleanser",madu sr12,wajah lembut melembapkan menenangkan kulit,4.0,,Brightening dengan Bahan Aktif
sari ayu facial foam bright skin putih langsat,sari ayu,facial foam,,bright skin putih langsat,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ponds facial scrub clear solution,ponds,facial scrub,,clear solution,4.0,,Brightening dengan Bahan Aktif
nivea men vitamin scrub extra bright,nivea men,scrub,vitamin,extra bright,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
pond facial foam jerawat solution,pond,facial foam,,jerawat solution,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah lightening day cream,wardah,cream,,lightening day,0.0,,Skincare Anti-Aging dan Brightening
ponds facial foam bright beauty serum,ponds,"facial foam, serum",,bright beauty,4.0,,Brightening dengan Bahan Aktif
viva face tonic cucumber,viva,face tonic,cucumber,,1.0,,Pembersih Wajah dan Perawatan Jerawat
ms glow luminous white night cream,ms glow,cream,,luminous white night,4.0,,Brightening dengan Bahan Aktif
hadalabo gokujyun facial foam,hadalabo gokujyun,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ponds white beauty day cream,ponds,cream,,white beauty day,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea men facial foam oil clear jerawat defense,nivea men,facial foam,,oil clear jerawat defense,3.0,,Hidrasi dan Perawatan Kulit Sensitif
safi hydra glow hydrating water cleanser,safi,water cleanser,,hydra glow hydrating,0.0,,Skincare Anti-Aging dan Brightening
y o u amino anti jerawat,y o u,,amino,anti jerawat,1.0,,Pembersih Wajah dan Perawatan Jerawat
suncare cream pelindung matahari,suncare,cream,,pelindung matahari,1.0,,Pembersih Wajah dan Perawatan Jerawat
facial wash pencerah wajah anti kusam melembapkan,,facial wash,,"pencerah wajah, anti kusam melembapkan",4.0,,Brightening dengan Bahan Aktif
ovale white cleanser wajah,ovale,cleanser wajah,,white,1.0,,Pembersih Wajah dan Perawatan Jerawat
sr12 nature rose water face mist toner untuk melembapkan menyegarkan mencerahkan kulit,sr12 nature,face mist toner,rose water,untuk melembapkan menyegarkan mencerahkan kulit,4.0,,Brightening dengan Bahan Aktif
wardah face toner lightening,wardah,face toner,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
pond facial foam jerawat solution,pond,facial foam,,jerawat solution,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika serum aha bha khusus milia bruntusan hitam mencerahkan wajah memudarkan kering komedo,leika,serum,aha bha,khusus milia bruntusan hitam mencerahkan wajah memudarkan kering komedo,4.0,,Brightening dengan Bahan Aktif
facial cottton,,facial cottton,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
facial wash sabun wajah pencerah,,"facial wash, sabun wajah",,pencerah,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika toner facial wash,leika,toner facial wash,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial foam bright smoothing,wardah,facial foam,,bright smoothing,4.0,,Brightening dengan Bahan Aktif
wardah cica panthenol gel moisturizer,wardah,gel moisturizer,"cica, panthenol",,1.0,,Pembersih Wajah dan Perawatan Jerawat
wardah day cream,wardah,cream,,day,0.0,,Skincare Anti-Aging dan Brightening
hanasui serum white,hanasui,serum,,white,4.0,,Brightening dengan Bahan Aktif
wardah facial foam lightening,wardah,facial foam,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
daily protection banana boat ultra protect ultramist sunscreen spf 50,banana boat,sunscreen,,"daily protection, ultra protect ultramist, spf 50",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea sun face serum extra protect,nivea,sun face serum,,extra protect,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah facial foam hydra rose gel cleanser100ml,wardah,"facial foam, gel cleanser100ml",rose,hydra,4.0,,Brightening dengan Bahan Aktif
banana boat sunblock ultra spf 50,banana boat,sunblock,,ultra spf 50,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
sunblock spf 30 tabir surya melindungi dari sinar uv mencerahkan melembapkan kulit,,"sunblock, tabir surya",,"spf 30, melindungi dari sinar uv mencerahkan melembapkan kulit",0.0,,Skincare Anti-Aging dan Brightening
nivea men extra bright vitamin scrup,nivea men,scrup,vitamin,extra bright,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ponds bright beauty,ponds,,,bright beauty,4.0,,Brightening dengan Bahan Aktif
viva cleansing milk bengkuang,viva,,milk bengkuang,cleansing,1.0,,Pembersih Wajah dan Perawatan Jerawat
glow lovely facial foam multi vitamin,glow lovely,facial foam,multi vitamin,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
emina face wash acneprone,emina,face wash,,acneprone,4.0,,Brightening dengan Bahan Aktif
skin aqua uv moisturizer gel spf30,skin aqua,moisturizer gel,,"uv, spf30",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
emina bright stuff serum,emina,stuff serum,,bright,4.0,,Brightening dengan Bahan Aktif
cleanser,,cleanser,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
garnier facial foam light complete,garnier,facial foam,,light complete,3.0,,Hidrasi dan Perawatan Kulit Sensitif
nivea sparkling bright foam,nivea,foam,,sparkling bright,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kahf men triple action,kahf men,,,triple action,0.0,,Skincare Anti-Aging dan Brightening
hanasui moisturizer gel 10xceramide probiotic,hanasui,moisturizer gel,10xceramide probiotic,,4.0,,Brightening dengan Bahan Aktif
leika ultra guard sunscreen spf 40 pa,leika,sunscreen,,"ultra guard, spf 40 pa",0.0,,Skincare Anti-Aging dan Brightening
wardah uvshield tone up sunscreen spf50,wardah,tone up sunscreen,,"uvshield, spf50",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
clean clear oil control,clean clear,,,oil control,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kahf face wash exfoliating,kahf,face wash,,exfoliating,0.0,,Skincare Anti-Aging dan Brightening
ponds facial foam bright beauty,ponds,facial foam,,bright beauty,4.0,,Brightening dengan Bahan Aktif
facial wash green tea cleanser wajah berminyak pencerah,,"facial wash, cleanser",green tea,wajah berminyak pencerah,4.0,,Brightening dengan Bahan Aktif
ponds men power clear,ponds men,,,power clear,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika aha bha night cream face soap glowing day,leika,cream face soap,aha bha,"night, glowing day",3.0,,Hidrasi dan Perawatan Kulit Sensitif
banana boat aloe vera gel sun moisturizer,banana boat,"gel, moisturizer",aloe vera,sun,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
leika glowing serum facial wash membersihkan mencerahkan pelembab pencerah perawatan wajah,leika,"serum facial wash, pelembab",,"glowing, membersihkan mencerahkan, pencerah perawatan wajah",3.0,,Hidrasi dan Perawatan Kulit Sensitif
shinzui facial wash jerawat calm,shinzui,facial wash,,jerawat calm,1.0,,Pembersih Wajah dan Perawatan Jerawat
viva cleansing milk lemon,viva,,milk lemon,cleansing,1.0,,Pembersih Wajah dan Perawatan Jerawat
garnier men acno fight,garnier men,,,acno fight,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
viva face tonic bengkuang,viva,face tonic,bengkuang,,1.0,,Pembersih Wajah dan Perawatan Jerawat
garnier men acno fight,garnier men,,,acno fight,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
pond clear solution,pond,,,clear solution,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial foam,wardah,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah lightening night cream,wardah,cream,,lightening night,3.0,,Hidrasi dan Perawatan Kulit Sensitif
viva waterdrop sleeping mask,viva,"waterdrop, mask",,sleeping,1.0,,Pembersih Wajah dan Perawatan Jerawat
leika basic pack glowing day cream night toner,leika,"cream, toner",,"basic pack glowing day, night",3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika skin neutralizer menetralkan kulit wajah mencerahkan ceramide vitamin mengencangkan pelembab berminyak,leika,pelembab,ceramide vitamin,"skin neutralizer menetralkan kulit wajah mencerahkan, mengencangkan, berminyak",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
himalaya face wash detox charcoal,himalaya,face wash,charcoal,detox,0.0,,Skincare Anti-Aging dan Brightening
ovale facial lotion white,ovale,facial lotion,,white,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kahf men facial foam skin energizing,kahf men,facial foam,,skin energizing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ponds brightbeautysrm day cream,ponds,cream,,brightbeautysrm day,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah lightening night cream,wardah,cream,,lightening night,3.0,,Hidrasi dan Perawatan Kulit Sensitif
cream essense day night penghilang flek noda hitam,,"cream, essense",,"day night, penghilang flek noda hitam",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
leika glowing night cream facial wash,leika,cream facial wash,,glowing night,3.0,,Hidrasi dan Perawatan Kulit Sensitif
banana boat sunscreen spray spf,banana boat,sunscreen spray,,spf,0.0,,Skincare Anti-Aging dan Brightening
sabun wajah madu,,sabun wajah,madu,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ponds men white boost,ponds men,,,white boost,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
marina face cream bright booster,marina,face cream,,bright booster,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
wardah milk cleanser lightening,wardah,cleanser,milk,lightening,1.0,,Pembersih Wajah dan Perawatan Jerawat
facial cottton,,facial cottton,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
viva face tonic green tea,viva,face tonic,green tea,,4.0,,Brightening dengan Bahan Aktif
pond facial foam white beauty,pond,facial foam,,white beauty,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika glowing serum toner,leika,serum toner,,glowing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ponds pure bright foam,ponds,foam,,pure bright,4.0,,Brightening dengan Bahan Aktif
ponds men facial foam lightening,ponds men,facial foam,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
garnier serum light comp,garnier,serum,,light comp,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea sun face serum extra protect oil control,nivea,sun face serum,,extra protect oil control,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
pemula flek hitam ceramide sabun kopi suncare,,"sabun, suncare","ceramide, kopi",pemula flek hitam,3.0,,Hidrasi dan Perawatan Kulit Sensitif
hadalabo gokujyun facial foam,hadalabo gokujyun,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
garnier men charchoal,garnier men,,charchoal,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
ponds men white boost,ponds men,,,white boost,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
himalaya men facial foam intense oil clear lemon,himalaya men,facial foam,lemon,intense oil clear,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah uv shield sunscreen gel spf35,wardah,sunscreen gel,,"uv shield, spf35",1.0,,Pembersih Wajah dan Perawatan Jerawat
hadalabo shirojyun facial foam,hadalabo shirojyun,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial wash ahawpha,wardah,facial wash,ahawpha,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
kahf men sun screen stick spf,kahf men,sun screen stick,,spf,4.0,,Brightening dengan Bahan Aktif
wardah renew you anti - aging intensive serum,wardah,serum,,renew you anti - aging intensive,1.0,,Pembersih Wajah dan Perawatan Jerawat
wardah day cream,wardah,cream,,day,0.0,,Skincare Anti-Aging dan Brightening
marina facial foam hydra lock,marina,facial foam,,hydra lock,3.0,,Hidrasi dan Perawatan Kulit Sensitif
banana boat aloe vera gel sun moisturizer,banana boat,"gel, moisturizer",aloe vera,sun,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
kahf men facial foam,kahf men,facial foam,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
nivea men facial foam bright oil clear shine,nivea men,facial foam,,"bright oil clear, shine",3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial foam bright oil control,wardah,facial foam,,bright oil control,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika glowing day cream facial wash,leika,cream facial wash,,glowing day,3.0,,Hidrasi dan Perawatan Kulit Sensitif
ovale facial lotion lemon,ovale,facial lotion,lemon,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah lightening exfoliator,wardah,exfoliator,,lightening,3.0,,Hidrasi dan Perawatan Kulit Sensitif
leika basic pack glowing day cream night serum,leika,"cream, serum",,"basic pack glowing day, night",3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah renew anti - aging night,wardah,,,"renew, anti - aging night",1.0,,Pembersih Wajah dan Perawatan Jerawat
facial cottton,,facial cottton,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah facial foam bright oil control,wardah,facial foam,,bright oil control,3.0,,Hidrasi dan Perawatan Kulit Sensitif
rexona dry serum fresh sakura,rexona,serum,sakura,"dry, fresh",4.0,,Brightening dengan Bahan Aktif
banana boat simply protect aqua sensitive sunscreen lotion spf 50,banana boat,sunscreen lotion,,"simply protect aqua sensitive, spf 50",0.0,,Skincare Anti-Aging dan Brightening
wardah moisturizer defense,wardah,moisturizer,,defense,4.0,,Brightening dengan Bahan Aktif
ponds age miracle day cream,ponds,cream,,age miracle day,3.0,,Hidrasi dan Perawatan Kulit Sensitif
dermaster lavijue wrinkle care serum,dermaster lavijue,serum,,wrinkle care,4.0,,Brightening dengan Bahan Aktif
diri essentials extra double cleanse cleanser wajah setelah beraktivitas,diri,"essentials, cleanser wajah",,"extra double cleanse, setelah beraktivitas",0.0,,Skincare Anti-Aging dan Brightening
jerawat combo fighter,,,,jerawat combo fighter,1.0,,Pembersih Wajah dan Perawatan Jerawat
baby pink glowing serum,baby pink,serum,,glowing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
skintific retinol skin renewal moisturizer anti - aging pelembab wajah,skintific,"moisturizer, pelembab wajah",retinol,"skin renewal, anti - aging",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
safi white expert illuminating day cream spf15 pa,safi,cream,,"white expert illuminating day, spf15 pa",0.0,,Skincare Anti-Aging dan Brightening
biore men scrub,biore men,scrub,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
skintific glycolic acid daily clarifying toner,skintific,toner,glycolic acid,daily clarifying,4.0,,Brightening dengan Bahan Aktif
brighty aha exfoliating,brighty,,aha,exfoliating,4.0,,Brightening dengan Bahan Aktif
glad2glow blueberry ceramide moisturizer wajah untuk melelmbabkan merawat kulit kering,glad2glow,"moisturizer, wajah","blueberry, ceramide",untuk melelmbabkan merawat kulit kering,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific ceramide low ph cleanser sabun cuci wajah untuk kulit sensitif barrier repair,skintific,cleanser sabun cuci wajah,ceramide,"low ph, untuk kulit sensitif, barrier repair",1.0,,Pembersih Wajah dan Perawatan Jerawat
avoskin serum tea tree glycolic acid rosemary,avoskin,serum,"tea tree, glycolic acid rosemary",,4.0,,Brightening dengan Bahan Aktif
nuxe aquabella exfoliating purifying gel,nuxe aquabella,gel,,exfoliating purifying,4.0,,Brightening dengan Bahan Aktif
kahf,kahf,,,,0.0,,Skincare Anti-Aging dan Brightening
wardah light hydrashot intensive moisturizer,wardah,moisturizer,,light hydrashot intensive,1.0,,Pembersih Wajah dan Perawatan Jerawat
ponds bright miracle ultimate clarity cream oily skin,ponds,cream,,"bright miracle ultimate clarity, oily skin",4.0,,Brightening dengan Bahan Aktif
you reeffect boost acid renewal peeling serum,you,serum,acid,"reeffect boost, renewal peeling",1.0,,Pembersih Wajah dan Perawatan Jerawat
safi white expert skin refiner,safi,,,white expert skin refiner,0.0,,Skincare Anti-Aging dan Brightening
moisturizing facial foam,,facial foam,,moisturizing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
shizengokochi facial soap,shizengokochi,facial soap,,,4.0,,Brightening dengan Bahan Aktif
labore sensitive barrier revive cream,labore,cream,,"sensitive, barrier revive",0.0,,Skincare Anti-Aging dan Brightening
dermies max anti - aging facial,dermies max,facial,,anti - aging,3.0,,Hidrasi dan Perawatan Kulit Sensitif
tirtir collagen lifting eye cream,tirtir,cream,collagen,lifting eye,1.0,,Pembersih Wajah dan Perawatan Jerawat
facetology triple care sunscreen spf 40 pa,facetology,sunscreen,,"triple care, spf 40 pa",0.0,,Skincare Anti-Aging dan Brightening
skintific glow beautyhaul,skintific,,,"glow, beautyhaul",1.0,,Pembersih Wajah dan Perawatan Jerawat
pigeon teens bangun tidur glowing facial moisturizer,pigeon teens,facial moisturizer,,bangun tidur glowing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
diri essentials jerawat facial cleanser salicylic acid membersihkan wajah berminyak,diri,"essentials, facial cleanser",salicylic acid,"jerawat, membersihkan wajah berminyak",1.0,,Pembersih Wajah dan Perawatan Jerawat
numbuzin pantothenic active soothing cream,numbuzin,cream,pantothenic,active soothing,3.0,,Hidrasi dan Perawatan Kulit Sensitif
dexskin brightening,dexskin,,,brightening,1.0,,Pembersih Wajah dan Perawatan Jerawat
saekin moisturizer ceramide centella hyaluronic acid collagen melembabkan mencerahkan kulit sensitif,saekin,moisturizer,ceramide centella hyaluronic acid collagen,melembabkan mencerahkan kulit sensitif,4.0,,Brightening dengan Bahan Aktif
scora sheer glow tone up cream,scora sheer,tone up cream,,glow,1.0,,Pembersih Wajah dan Perawatan Jerawat
biolite cream,biolite,cream,,,1.0,,Pembersih Wajah dan Perawatan Jerawat
somethinc low ph gentle jelly cleanser sabun cuci wajah semua jenis kulit kotoran facial wash tidak ketarik skin type sensitive repair barrier,somethinc,"gentle jelly cleanser sabun cuci wajah, facial wash",,"low ph, semua jenis kulit kotoran, tidak ketarik skin type sensitive repair barrier",0.0,,Skincare Anti-Aging dan Brightening
tocobo collagen brightening eye gel cream,tocobo,gel cream,collagen,brightening eye,1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote low ph cicamide facial cleanser,the originote,facial cleanser,cicamide,low ph,1.0,,Pembersih Wajah dan Perawatan Jerawat
some mi retinol intense reactivating serum,some mi,serum,retinol,intense reactivating,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
skin sake retinol serum ceramide,skin sake,serum,"retinol, ceramide",,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
skin sake liquid cream moisturizer zinc pca,skin sake,liquid cream moisturizer,zinc pca,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
facetology triple care sunscreen oily jerawat spf40 pa,facetology,sunscreen,,"triple care, oily jerawat spf40 pa",0.0,,Skincare Anti-Aging dan Brightening
garnier uv air mist sunscreen spf 50 pa,garnier,air mist sunscreen,,"uv, spf 50 pa",0.0,,Skincare Anti-Aging dan Brightening
innisfree cherry blossom glow tone up cream spf50 pa mencerahkan seketika untuk kulit kusam,innisfree cherry blossom,tone up cream,,"glow, spf50 pa mencerahkan seketika untuk kulit kusam",0.0,,Skincare Anti-Aging dan Brightening
bio oil,bio oil,,,,0.0,,Skincare Anti-Aging dan Brightening
nivea sunscreen face serum extra protect instant aura spf50 pa sunblock mencerahkan brightening tone up spf uv harian lightweight gel tekstur ringan cepat meresap tidak lengket no whitecast licorice,nivea,"sunscreen face serum, sunblock, tone up, gel",licorice,"extra protect instant aura spf50 pa, mencerahkan brightening, spf uv harian lightweight, tekstur ringan cepat meresap tidak lengket no whitecast",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
erha facial signature timeless youth,erha,facial,,signature timeless youth,1.0,,Pembersih Wajah dan Perawatan Jerawat
la roche posay serum intensive anti dark spot,la roche posay,serum,,intensive anti dark spot,0.0,,Skincare Anti-Aging dan Brightening
abib jerawat foam cleanser heartleaf,abib,foam cleanser,heartleaf,jerawat,3.0,,Hidrasi dan Perawatan Kulit Sensitif
wardah makeup flawless coverage bebas kusam cushion moisturizer instant fresh look satin finish cream ringan melembabkan kulit lightening,wardah,"cushion, moisturizer, cream",,"makeup flawless coverage bebas kusam, instant fresh look satin finish, ringan melembabkan kulit lightening",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
b erl mencerahkan anti kusam intense lightening serum menghilangkan flek hitam,b erl,serum,,"mencerahkan anti kusam intense lightening, menghilangkan flek hitam",0.0,,Skincare Anti-Aging dan Brightening
some mi aha bha pha 30 days miracle cream,some mi,cream,aha bha pha,30 days miracle,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
hydrating toner skin booster,,toner,,"hydrating, skin booster",4.0,,Brightening dengan Bahan Aktif
wardah glowing skin on your day cushion glasting liquid mascara radiant resurfacing retinal serum collagen moisturizer,wardah,"cushion, liquid, mascara, serum, moisturizer",collagen,"glowing skin on your day, glasting, radiant resurfacing retinal",4.0,,Brightening dengan Bahan Aktif
aizen,aizen,,,,4.0,,Brightening dengan Bahan Aktif
lagom cellup cleansing water,lagom cellup,cleansing water,,,4.0,,Brightening dengan Bahan Aktif
aizen in one skin repair barrier,aizen in one,,,"skin repair, barrier",4.0,,Brightening dengan Bahan Aktif
b erl intense lightening day cream night,b erl,cream,,"intense lightening day, night",3.0,,Hidrasi dan Perawatan Kulit Sensitif
tocobo cotton soft sun stick spf50 pa,tocobo cotton,soft sun stick,,spf50 pa,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
garniermen turbo light oil scrub,garniermen,oil scrub,,turbo light,1.0,,Pembersih Wajah dan Perawatan Jerawat
animate jerawat solution toner,animate,toner,,jerawat solution,1.0,,Pembersih Wajah dan Perawatan Jerawat
dermaster lavijue serum clabiane acu derm cream,dermaster lavijue,serum clabiane acu derm cream,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
suncut tone up uv essence lavender sunscreen brightening effect,suncut,"tone up, essence, sunscreen",lavender,"uv, brightening effect",0.0,,Skincare Anti-Aging dan Brightening
dorskin cera sunscreen,dorskin,cera sunscreen,,,4.0,,Brightening dengan Bahan Aktif
the originote moisturizer,the originote,moisturizer,,,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
biore men jerawat,biore men,,,jerawat,1.0,,Pembersih Wajah dan Perawatan Jerawat
facetology triple care sunscreen oily skin spf 40 pa ringan oil control untuk kulit berminyak,facetology,sunscreen,,"triple care, oily skin spf 40 pa ringan oil control untuk kulit berminyak",0.0,,Skincare Anti-Aging dan Brightening
biyu oil control cleanser ph balanced,biyu,cleanser,,"oil control, ph balanced",0.0,,Skincare Anti-Aging dan Brightening
paper filter,,paper filter,,,,entitas tidak dikenali dictionary LDA,
sk ii facial treatment clear lotion,sk ii,lotion,,facial treatment clear,3.0,,Hidrasi dan Perawatan Kulit Sensitif
bhumi clear,bhumi,,,clear,3.0,,Hidrasi dan Perawatan Kulit Sensitif
house of hur daily skin essence pad,house of hur,essence pad,,daily skin,4.0,,Brightening dengan Bahan Aktif
abib essence calming,abib,essence,,calming,3.0,,Hidrasi dan Perawatan Kulit Sensitif
avoskin miraculous refining toner,avoskin,toner,,miraculous refining,0.0,,Skincare Anti-Aging dan Brightening
