text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
scarlett white jerawat day cream,scarlett,cream,,white jerawat day,5,Brightening dengan Bahan Aktif
ponds bright facial foam,ponds,facial foam,,bright,,
safi jerawat expert sebum control fluid toner wajah,safi,toner wajah,fluid,jerawat expert sebum control,4,Hidrasi dan Perawatan Kulit Sensitif
safi age defy radiant day emulsion,safi,,emulsion,age defy radiant day,,
numbuzin blemish serum,numbuzin,blemish serum,,,,
renewal senka whip berry bright,senka whip,,berry,"bright, renewal",4,Hidrasi dan Perawatan Kulit Sensitif
sk ii essence,sk ii,essence,,,,
skintific ceramide barrier repair,skintific,,ceramide,barrier repair,5,Brightening dengan Bahan Aktif
kose white cleansing oil makeup remover batiste,kose,,,white cleansing oil makeup remover batiste,2,Pembersih Wajah dan Perawatan Jerawat
sk ii eye cream,sk ii,cream,,eye,,
skintific mugwort anti pores jerawat clay stick mask wajah untuk membersihkan pori,skintific,"clay stick, mask wajah",mugwort,"anti pores jerawat, untuk membersihkan pori",5,Brightening dengan Bahan Aktif
elemis apricot toner,elemis,toner,apricot,,,
embryolisse moisturizer pelembab wajah untuk kulit kering,embryolisse,"moisturizer, pelembab wajah",,untuk kulit kering,1,Skincare Anti-Aging dan Brightening
hyaluronic acid sodium hyaluronate 50gram,,,hyaluronic acid sodium hyaluronate 50gram,,,
somethinc holyshield sunscreen mist spf46 pa,somethinc,"mist, sunscreen",,"holyshield, spf46 pa",5,Brightening dengan Bahan Aktif
in one sunscreen bayi anak spf 50 pa skin barrier expert perlindungan kulit dari sinar uva uvb aman sensitif,in one,sunscreen,,bayi anak spf 50 pa skin barrier expert perlindungan kulit dari sinar uva uvb aman sensitif,3,"Pelembap, Retinol, dan Perlindungan Kulit"
caudalie smooth and glow,caudalie,,,smooth and glow,,
wardah brightening hydrating toner,wardah,toner,,brightening hydrating,,
pyunkang yul calming low ph foaming cleanser,pyunkang yul,foaming cleanser,,calming low ph,1,Skincare Anti-Aging dan Brightening
beauty of joseon green plum refreshing toner aha bha,beauty of joseon,toner,"aha bha, green plum",refreshing,,
glad2glow aha bha pha intensive peeling solution,glad2glow,,aha bha pha,intensive peeling solution,,
bio beauty lab blemish and pore clearing toner,bio beauty lab,toner,,blemish and pore clearing,,
emina bright prebiotic tranexamic acid brightening facial cleanser,emina,facial cleanser,prebiotic tranexamic acid,"bright, brightening",5,Brightening dengan Bahan Aktif
lacoco bakuchiol essence,lacoco,essence,bakuchiol,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
bhumi defense daily sunscreen,bhumi,sunscreen,,defense daily,4,Hidrasi dan Perawatan Kulit Sensitif
glad2glow brow intense serum,glad2glow,serum,,brow intense,,
hadalabo gokujyun anti - aging serum,hadalabo gokujyun,serum,,anti - aging,4,Hidrasi dan Perawatan Kulit Sensitif
glad2glow propolis hyaluronic acid barrier essence toner,glad2glow,essence toner,propolis hyaluronic acid,barrier,,
lilin lebah beeswax,beeswax,lilin lebah,,,4,Hidrasi dan Perawatan Kulit Sensitif
innisfree blueberry rebalancing skin,innisfree,,blueberry,rebalancing skin,1,Skincare Anti-Aging dan Brightening
innisfree black tea youth enhancing lotion anti - aging untuk segarkan kulit lelah,innisfree,lotion,black tea,"anti - aging untuk segarkan kulit lelah, youth enhancing",4,Hidrasi dan Perawatan Kulit Sensitif
esther facial soap,esther,facial soap,,,,
perawatan mommies brightening hydrating,mommies,,,"brightening hydrating, perawatan",2,Pembersih Wajah dan Perawatan Jerawat
natur e white bright glow radiant ultra light sun protection spf 45 pa sunscreen wajah tone up ringan melembabkan mencerahkan kulit vitamin gluthatione niacinamide,natur e,sunscreen wajah tone up,vitamin gluthatione niacinamide,"ringan melembabkan mencerahkan kulit, white bright glow radiant ultra light sun protection spf 45 pa",,
dexskin derma express hydrating essence,dexskin derma express,essence,,hydrating,5,Brightening dengan Bahan Aktif
beauty of joseon ginseng moisturizer serum,beauty of joseon,"moisturizer, serum",ginseng,,,
sk ii skinpower essence,sk ii,essence,,skinpower,4,Hidrasi dan Perawatan Kulit Sensitif
viva body painting remover,viva,,,body painting remover,4,Hidrasi dan Perawatan Kulit Sensitif
benton green tea serum,benton,serum,green tea,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
aizen jerawat barrier triple,aizen,,,jerawat barrier triple,1,Skincare Anti-Aging dan Brightening
isntree hyaluronic acid gel cream,isntree,gel cream,hyaluronic acid,,4,Hidrasi dan Perawatan Kulit Sensitif
safi white natural anti jerawat cleanser tea tree,safi,cleanser,tea tree,white natural anti jerawat,,
noblesse facial foam cleansing,noblesse,facial foam,,cleansing,,
clean clear oil control,clean clear,,,oil control,,
erha brightening day cream,erha,cream,,brightening day,,
watsons face massager,watsons,,,face massager,3,"Pelembap, Retinol, dan Perlindungan Kulit"
simple kind to skin moisturising facial wash,simple kind to skin,facial wash,,moisturising,3,"Pelembap, Retinol, dan Perlindungan Kulit"
clinelle calm care cleanser,clinelle,cleanser,,calm care,5,Brightening dengan Bahan Aktif
somethinc jerawat treatment salicylic acid serum,somethinc,serum,salicylic acid,jerawat treatment,1,Skincare Anti-Aging dan Brightening
labore sensitive soothing mist,labore,mist,,"sensitive, soothing",5,Brightening dengan Bahan Aktif
wardah hydra rose gel to foam cleanser,wardah,gel to foam cleanser,rose,hydra,,
safi age defy foam cleanser deep exfoliator,safi,foam cleanser,,"age defy, deep exfoliator",,
neogen bio peel gauze peeling,neogen bio,peel gauze,,peeling,,
b erl brighthening essence treatment mencerahkan niacinamide extract flower,b erl,essence,niacinamide extract flower,"brighthening, treatment mencerahkan",,
cetaphil cleanser,cetaphil,cleanser,,,4,Hidrasi dan Perawatan Kulit Sensitif
pyunkang yul essence toner,pyunkang yul,essence toner,,,,
dermaster hydrating ultimate glow,dermaster,,,hydrating ultimate glow,1,Skincare Anti-Aging dan Brightening
gatsby cooling face wash clean,gatsby,face wash,,"clean, cooling",2,Pembersih Wajah dan Perawatan Jerawat
gatsby cooling face wash triple porefection,gatsby,face wash,,"cooling, triple porefection",3,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific aha bha pha lha peeling solution,skintific,,aha bha pha lha,peeling solution,2,Pembersih Wajah dan Perawatan Jerawat
wardah amino gel cleanser vitamin c sabun cuci wajah low ph untuk kulit kusam dry kering senstive face wash membersihkan mencerahkan melembapkan sensitive,wardah,"face wash, gel cleanser, sabun cuci wajah","amino, vitamin c","low ph untuk kulit kusam dry kering senstive, membersihkan mencerahkan melembapkan sensitive",3,"Pelembap, Retinol, dan Perlindungan Kulit"
cosrx low ph morning gel cleanser,cosrx,gel cleanser,,"low ph, morning",4,Hidrasi dan Perawatan Kulit Sensitif
bhumi multi targeted natural adoring face oil,bhumi,,,multi targeted natural adoring face oil,,
innisfree green tea amino hydrating cleansing foam,innisfree,foam,green tea amino,hydrating cleansing,,
esther serum wajah kulit aging,esther,serum wajah,,kulit aging,5,Brightening dengan Bahan Aktif
lagom cellus revive essence toner,lagom,essence toner,,cellus revive,2,Pembersih Wajah dan Perawatan Jerawat
elemis collagen eye revive mask mata,elemis,mask,collagen,"eye revive, mata",,
erha agec day cream pelembab wajah,erha,cream pelembab wajah,,agec day,,
wardah day moisturizer,wardah,moisturizer,,day,1,Skincare Anti-Aging dan Brightening
skintific dark spot eraser serum,skintific,serum,eraser,dark spot,,
skintific day light sunscreen mist spf 50 pa,skintific,sunscreen mist,,"day light, spf 50 pa",,
skintific dark spot eraser serum,skintific,serum,eraser,dark spot,5,Brightening dengan Bahan Aktif
erha age corrector aha bha red algae facial wash,erha,facial wash,aha bha red algae,age corrector,,
animate salmon dna glowing gel,animate,gel,salmon dna,glowing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
elizabeth arden prevage anti - aging daily serum,elizabeth arden,serum,,prevage anti - aging daily,4,Hidrasi dan Perawatan Kulit Sensitif
dermaster,dermaster,,,,,
glad2glow peach retinol moisturizer,glad2glow,moisturizer,peach retinol,,4,Hidrasi dan Perawatan Kulit Sensitif
emina spf 50 pa cica jerawat fighter sunscreen,emina,sunscreen,cica,"jerawat fighter, spf 50 pa",3,"Pelembap, Retinol, dan Perlindungan Kulit"
anessa,anessa,,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
glad2glow apricot glycolic acid exfoliating smooth peeling gel,glad2glow,gel,apricot glycolic acid,exfoliating smooth peeling,1,Skincare Anti-Aging dan Brightening
banana boat simply protect moisturizer uv sunscreen lotion spf 50 pa,banana boat,"moisturizer, sunscreen lotion",,"simply protect, spf 50 pa, uv",,
nuxe rich cleansing gel,nuxe,gel,,rich cleansing,,
skinlife foaming facial wash,skinlife,foaming facial wash,,,4,Hidrasi dan Perawatan Kulit Sensitif
numbuzin vitamin boosting essential toner,numbuzin,essential toner,vitamin,boosting,,
elizabeth arden skin renewal booster,elizabeth arden,,,skin renewal booster,3,"Pelembap, Retinol, dan Perlindungan Kulit"
tavi retinol peptide slow aging serum,tavi,serum,retinol peptide,slow aging,2,Pembersih Wajah dan Perawatan Jerawat
mustika ratu penyegar sari ketimun toner mask bengkoang,mustika ratu,toner mask,"bengkoang, sari ketimun",penyegar,1,Skincare Anti-Aging dan Brightening
tocobo essence,tocobo,essence,,,,
noblesse eye cream,noblesse,cream,,eye,,
glow lovely vitamin cream,glow lovely,cream,vitamin,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
tocobo watery sun cream spf50 pa,tocobo,cream,,"spf50 pa, watery sun",2,Pembersih Wajah dan Perawatan Jerawat
natur e white bright glow radiant face and body extra protection vitamin gluthatione niacinamide toner moisturizer serum sunscreen spf 45 pa,natur e,toner moisturizer serum sunscreen,vitamin gluthatione niacinamide,"spf 45 pa, white bright glow radiant face and body extra protection",,
daily peeling serum kulit berminyak,,serum,,"daily peeling, kulit berminyak",1,Skincare Anti-Aging dan Brightening
beneath bhumi sugar rush exfoliating serum,beneath bhumi,serum,,sugar rush exfoliating,3,"Pelembap, Retinol, dan Perlindungan Kulit"
numbuzin deep clean fresh cream cleanser,numbuzin,cream cleanser,,deep clean fresh,5,Brightening dengan Bahan Aktif
aizen jerawat,aizen,,,jerawat,,
somethinc sunscreen spf 40 pa,somethinc,sunscreen,,spf 40 pa,4,Hidrasi dan Perawatan Kulit Sensitif
erha21 erha facial wash oily skin sabun wajah kulit berminyak,"erha, erha21","facial wash, sabun wajah",,"kulit berminyak, oily skin",4,Hidrasi dan Perawatan Kulit Sensitif
glowlabs glow essence angkat sel kulit mati harian,glowlabs,essence,,"angkat sel kulit mati harian, glow",,
pyunkang yul essence toner pad,pyunkang yul,essence toner pad,,,5,Brightening dengan Bahan Aktif
embryolisse lashes and brows booster,embryolisse,lashes and brows,,booster,1,Skincare Anti-Aging dan Brightening
tavi cica water break sun shield spf sunscreen wajah lightweight menyegarkan sunblock olahraga berenang,tavi,"sunblock, sunscreen wajah",cica,"lightweight menyegarkan, olahraga berenang, water break sun shield spf",,
votre peau calendula hydrating face toner,votre peau,face toner,calendula,hydrating,,
acnes uv,,,,acnes uv,4,Hidrasi dan Perawatan Kulit Sensitif
safi age defy essence,safi,essence,,age defy,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote jerawat serum,the originote,serum,,jerawat,,
emina uv gel spf 50,emina,gel,,"spf 50, uv",2,Pembersih Wajah dan Perawatan Jerawat
implora serum,implora,serum,,,,
innisfree black tea youth enhancing cream wajah perawatan,innisfree,cream wajah,black tea,"perawatan, youth enhancing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
numbuzin firming cream,numbuzin,cream,,firming,,
dexskin derma express whiteten jelly booster,dexskin derma express,jelly booster,,whiteten,1,Skincare Anti-Aging dan Brightening
beauty of joseon sunscreen aqua fresh rice,beauty of joseon,sunscreen,"aqua, rice",fresh,,
innisfree vitamin c green tea brightening cream,innisfree,cream,vitamin c green tea,brightening,,
viva sunscreen foundation tabir surya untuk melindungi kulit uv filter,viva,sunscreen foundation tabir surya,,untuk melindungi kulit uv filter,,
isntree green tea,isntree,,green tea,,2,Pembersih Wajah dan Perawatan Jerawat
heimish clean foam,heimish,foam,,clean,,
esther jerawat toner,esther,toner,,jerawat,2,Pembersih Wajah dan Perawatan Jerawat
erha acneact anti jerawat serum,erha,serum,,acneact anti jerawat,2,Pembersih Wajah dan Perawatan Jerawat
haruharu black rice soft peeling gel,haruharu,gel,black rice,soft peeling,1,Skincare Anti-Aging dan Brightening
caudalie vinopure salicylic spot solution cream jerawat,caudalie vinopure,cream,salicylic,"jerawat, spot solution",5,Brightening dengan Bahan Aktif
dermaster lavijue wrinkle care serum clabiane derm cream,"clabiane, dermaster lavijue","derm cream, serum",,wrinkle care,1,Skincare Anti-Aging dan Brightening
viva moisturizer cream,viva,moisturizer cream,,,1,Skincare Anti-Aging dan Brightening
kose suncut uv milk spf50 pa sunscreen,kose,sunscreen,milk,"spf50 pa, suncut uv",,
wardah renew you anti - aging eye cream,wardah,cream,,renew you anti - aging eye,,
fair and lovely vitamin,fair and lovely,,vitamin,,4,Hidrasi dan Perawatan Kulit Sensitif
d alba essence sun cream,d alba,essence sun cream,,,,
adleeva brightening night cream malam,adleeva,cream,,"brightening night, malam",1,Skincare Anti-Aging dan Brightening
vitamin b5 panthenol,,,"panthenol, vitamin b5",,,
skintific dark spot eraser serum pencerah wajah penghilang flek hitam anti noda,skintific,serum,eraser,"anti noda, dark spot, pencerah wajah penghilang flek hitam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
jumiso cream centella,jumiso,cream,centella,,4,Hidrasi dan Perawatan Kulit Sensitif
wardah uv shield jerawat calming sunscreen serum spf50 pa,wardah,sunscreen serum,,"spf50 pa, uv shield jerawat calming",,
ponds bright niasorcinol night serum,ponds,serum,niasorcinol,"bright, night",3,"Pelembap, Retinol, dan Perlindungan Kulit"
bio essence moisturizer,bio,"essence, moisturizer",,,1,Skincare Anti-Aging dan Brightening
d alba mild skin balancing toner,d alba,toner,,mild skin balancing,,
dermies max dark circle correction treatment,dermies max,,,dark circle correction treatment,,
esther radiant day cream wajah pagi kulit kusam,esther,cream wajah,,"pagi kulit kusam, radiant day",2,Pembersih Wajah dan Perawatan Jerawat
elemis collagen rose cleansing balm cleanser wajah,elemis,balm cleanser wajah,collagen rose,cleansing,4,Hidrasi dan Perawatan Kulit Sensitif
kose white cleansing oil makeup remover,kose,,,"makeup remover, white cleansing oil",4,Hidrasi dan Perawatan Kulit Sensitif
diri essentials jerawat serum 2 bha niacinamide zinc mengurangi bekas wajah,diri,"essentials, serum","2 bha, niacinamide zinc","jerawat, mengurangi bekas wajah",,
isntree green tea,isntree,,green tea,,,
elizabeth arden advance light ceramide capsules strengthening serum,elizabeth arden,"capsules, serum",ceramide,"advance light, strengthening",,
skin sake hypochlorous acid spray hocl anti bakteri yang efektif membunuh penyebab jerawat membantu meredakan eksim serta iritasi kulit,skin sake,spray,"hocl, hypochlorous acid","anti bakteri yang efektif membunuh, penyebab jerawat membantu meredakan eksim serta iritasi kulit",1,Skincare Anti-Aging dan Brightening
finally found you soy clear brightening dark spot serum mencerahkan noda hitam untuk semua jenis kulit,finally found you soy,serum,,"clear brightening dark spot, mencerahkan noda hitam untuk semua jenis kulit",,
bragg apple toner wajah,bragg,toner wajah,apple,,2,Pembersih Wajah dan Perawatan Jerawat
jumiso hyaluronic acid sunscreen,jumiso,sunscreen,hyaluronic acid,,2,Pembersih Wajah dan Perawatan Jerawat
natur e advanced age re juve glow intensive white bright radiant ultra light sun protection spf 45 pa,natur e,,,advanced age re juve glow intensive white bright radiant ultra light sun protection spf 45 pa,3,"Pelembap, Retinol, dan Perlindungan Kulit"
hayylife pinset jerawat komedo blackhead remover,hayylife,pinset,,"blackhead remover, jerawat komedo",5,Brightening dengan Bahan Aktif
nivea men extra bright dark spot facial foam roll on,nivea men,"facial foam, roll on",,extra bright dark spot,,
abib sunstick protection,abib,sunstick,,protection,1,Skincare Anti-Aging dan Brightening
jumiso snail mucin peptide facial essence,jumiso,facial essence,"peptide, snail mucin",,3,"Pelembap, Retinol, dan Perlindungan Kulit"
esther jerawat skin,esther,,,jerawat skin,,
skin tonic,,skin tonic,,,,
clinelle purifying pore essence,clinelle,essence,,purifying pore,2,Pembersih Wajah dan Perawatan Jerawat
facetology triple care sunscreen spf50 pa,facetology,sunscreen,,"spf50 pa, triple care",2,Pembersih Wajah dan Perawatan Jerawat
votre peau niacinamide booster ampoule,votre peau,,niacinamide,booster ampoule,1,Skincare Anti-Aging dan Brightening
anua heartleaf quercetinol pore deep cleansing foam,anua,foam,heartleaf quercetinol,pore deep cleansing,,
viva milk cleanser green tea facial wajah,viva,"cleanser, facial wajah","green tea, milk",,2,Pembersih Wajah dan Perawatan Jerawat
skintific ceramide soothing toner,skintific,toner,ceramide,soothing,,
serum glowing skin barrier repair rose gel,,"gel, serum",rose,glowing skin barrier repair,2,Pembersih Wajah dan Perawatan Jerawat
numbuzin skin softening serum,numbuzin,serum,,skin softening,3,"Pelembap, Retinol, dan Perlindungan Kulit"
aizen divine face cleanser sabun wajah khusus kulit sensitif mudah jerawat wash,aizen divine,"face cleanser, sabun wajah, wash",,khusus kulit sensitif mudah jerawat,2,Pembersih Wajah dan Perawatan Jerawat
esther retinol serum acid extract tranexamic essence kusam pencerah,esther,"essence, serum","acid extract tranexamic, retinol",kusam pencerah,,
aizen scar barrier sun triple bekas jerawat skin,aizen,,,"bekas jerawat skin, scar barrier sun triple",4,Hidrasi dan Perawatan Kulit Sensitif
erha glow,erha,,,glow,,
erha21 erha balancing toner untuk semua jenis kulit,"erha, erha21",toner,,"balancing, untuk semua jenis kulit",4,Hidrasi dan Perawatan Kulit Sensitif
judydoll sun defense moisturizer light,judydoll,moisturizer,,"light, sun defense",,
elformula cerahydro barrier repair moisturizer cream,elformula,moisturizer cream,,cerahydro barrier repair,,
tavi shield mist setting spray makeup,tavi,mist setting spray makeup,,shield,,
pyunkang yul black tea cream,pyunkang yul,cream,black tea,,,
d savior dark spot serum noda hitam,d savior,serum,,"dark spot, noda hitam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
esther peeling cream,esther,cream,,peeling,1,Skincare Anti-Aging dan Brightening
the originote astachiol serum,the originote,serum,astachiol,,,
biore mens scrub white,biore mens,scrub,,white,2,Pembersih Wajah dan Perawatan Jerawat
ms glow penghilang flek hitam bopeng,ms glow,,,penghilang flek hitam bopeng,,
caudalie hyaluronic serum,caudalie,serum,hyaluronic,,2,Pembersih Wajah dan Perawatan Jerawat
charis madecassoside cica cream,charis,cream,madecassoside cica,,5,Brightening dengan Bahan Aktif
somethinc omega deep cleansing balm untuk makeup remover kulit bersih lembap,somethinc,balm,omega,"deep cleansing, untuk makeup remover kulit bersih lembap",1,Skincare Anti-Aging dan Brightening
felinz lash brow serum,felinz,lash brow serum,,,,
hada labo ultimate anti - aging milk,hada labo,,milk,ultimate anti - aging,,
hanasui flawless glow 10 day cream,hanasui,cream,,flawless glow 10 day,,
emina face mask grape seed olive,emina,face mask,grape seed olive,,,
skintific day light sunscreen mist spf 50 pa,skintific,sunscreen mist,,"day light, spf 50 pa",,
safi age defy cream cleanser deep moisturer,safi,"cream cleanser, moisturer",,"age defy, deep",4,Hidrasi dan Perawatan Kulit Sensitif
pyunkang yul essence toner,pyunkang yul,essence toner,,,,
azarine cicamide barrier sunscreen moisturizer spf35 pa sp35,azarine,sunscreen moisturizer,"cicamide, sp35","barrier, spf35 pa",5,Brightening dengan Bahan Aktif
rose day brightening dark spot toner,rose day,toner,,brightening dark spot,5,Brightening dengan Bahan Aktif
from this island mangosteen brightening serum,from this island,serum,mangosteen,brightening,5,Brightening dengan Bahan Aktif
b erl peeling solution apple serum exfoliating aha bha pha glycolic acid,b erl,serum,"aha bha pha glycolic acid, apple","exfoliating, peeling solution",,
avoskin shield of sun essence spf 50 pa,avoskin,essence,,"shield of sun, spf 50 pa",1,Skincare Anti-Aging dan Brightening
mary may niacinamide chaenomeles sinesis serum,mary may,serum,niacinamide chaenomeles sinesis,,1,Skincare Anti-Aging dan Brightening
pyunkang yul calming deep moisturizer toner,pyunkang yul,moisturizer toner,,calming deep,4,Hidrasi dan Perawatan Kulit Sensitif
abib essence,abib,essence,,,,
dexskin derma express jerawat skin refine cleanser,dexskin derma express,cleanser,,jerawat skin refine,4,Hidrasi dan Perawatan Kulit Sensitif
innisfree green tea seed hyaluronic serum wajah essence,innisfree,serum wajah essence,green tea seed hyaluronic,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
anua heartleaf soothing toner,anua,toner,heartleaf,soothing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
bhumi glacier water calming cleanser,bhumi,cleanser,,glacier water calming,5,Brightening dengan Bahan Aktif
2 nivea men face scrub bright oil clear pore minimizing sabun cuci wajah pria mencerahkan minyak berlebih berminyak kulit kusam mengecilkan pori komedo vitamin c,2 nivea men,"face scrub, sabun cuci wajah pria",vitamin c,"bright oil clear pore minimizing, mencerahkan minyak berlebih berminyak kulit kusam mengecilkan pori komedo",2,Pembersih Wajah dan Perawatan Jerawat
emina bright niacinamide ceramide brightening facial cleanser,emina,facial cleanser,"ceramide, niacinamide","bright, brightening",,
poise anti jerawat facial foam,poise,facial foam,,anti jerawat,5,Brightening dengan Bahan Aktif
la roche posay foaming gel cleanser facial wash kulit,la roche posay,foaming gel cleanser facial wash,,kulit,2,Pembersih Wajah dan Perawatan Jerawat
studio tropik pa peach skin pretty filter,studio tropik,,peach,"pa, skin pretty filter",,
cosrx aloe soothing sun cream spf 50 pa,cosrx,cream,aloe,"soothing sun, spf 50 pa",,
l oreal glycolic bright glowing daily cleanser foam,l oreal,cleanser foam,glycolic,bright glowing daily,3,"Pelembap, Retinol, dan Perlindungan Kulit"
labore multi pigmentation brightening serum,labore,serum,,multi pigmentation brightening,,
neogen bio peel gauze peeling lemon,neogen bio,peel gauze,lemon,peeling,3,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea sunscreen face serum protect light feel spf50 pa sunblock cocok kulit sensitif spf uv lightweight tekstur ringan cepat meresap tidak lengket no whitecast,nivea,"sunblock, sunscreen face serum",,"cocok kulit sensitif spf uv lightweight tekstur ringan cepat meresap tidak lengket no whitecast, protect light feel spf50 pa",,
somethinc renewal serum,somethinc,serum,,renewal,,
wardah glycolic acid maltobionic succinic peeling serum,wardah,serum,"glycolic acid, maltobionic, succinic",peeling,2,Pembersih Wajah dan Perawatan Jerawat
pyunkang yul jerawat toner,pyunkang yul,toner,,jerawat,,
heimish clean white clay foam,heimish,clay foam,,clean white,3,"Pelembap, Retinol, dan Perlindungan Kulit"
nivea men vitamin scrub extra bright sabun cuci wajah pria mencerahkan angkat sel kulit mati brightening kusam cleanser membersihkan pori polusi debu kotoran hyaluronic acid,nivea men,"cleanser, sabun cuci wajah pria, scrub","hyaluronic acid, vitamin","extra bright, membersihkan pori polusi debu kotoran, mencerahkan angkat sel kulit mati brightening kusam",5,Brightening dengan Bahan Aktif
glow better effortless eye cream light,glow better,cream,,"effortless, eye, light",1,Skincare Anti-Aging dan Brightening
wardah defense energizing creamy wash,wardah,creamy wash,,defense energizing,4,Hidrasi dan Perawatan Kulit Sensitif
crystallure supreme advanced hydra gel,crystallure supreme,gel,,advanced hydra,,
erha age corrector facial wash,erha,facial wash,,age corrector,2,Pembersih Wajah dan Perawatan Jerawat
erha21 eternalips spf 20 pa,erha21,eternalips,,spf 20 pa,2,Pembersih Wajah dan Perawatan Jerawat
kahf triple protection sunscreen moisturizer,kahf,sunscreen moisturizer,,triple protection,4,Hidrasi dan Perawatan Kulit Sensitif
kahf jerawat and pore cleanse scrub face wash,kahf,scrub face wash,,jerawat and pore cleanse,,
haruharu black bamboo mist,haruharu,bamboo mist,black,,,
garnier men acno fight anti jerawat foam,garnier men,foam,,acno fight anti jerawat,,
caudalie beauty,caudalie,,,beauty,5,Brightening dengan Bahan Aktif
skintific retinol skin renewal serum,skintific,serum,retinol,skin renewal,,
d alba white spray serum,d alba,spray serum,,white,,
l oreal glycolic bright glowing day cream spf17,l oreal,cream,glycolic,"bright glowing day, spf17",5,Brightening dengan Bahan Aktif
abib heartleaf facial mist calming spray,abib,"facial mist, spray",heartleaf,calming,2,Pembersih Wajah dan Perawatan Jerawat
elformula daily gentle low ph facial cleanser wash intensive peeling solution,elformula,facial cleanser wash,,"daily gentle low ph, intensive peeling solution",5,Brightening dengan Bahan Aktif
skintific niacinamide brightening serum,skintific,serum,niacinamide,brightening,5,Brightening dengan Bahan Aktif
haruharu black rice bakuchiol eye cream,haruharu,cream,black rice bakuchiol,eye,3,"Pelembap, Retinol, dan Perlindungan Kulit"
b erl peeling serum barrier moisturizer soothing gel calming,b erl,"gel, moisturizer, serum",,"barrier, calming, peeling, soothing",,
long lasting sunscreen spray,,sunscreen spray,,long lasting,4,Hidrasi dan Perawatan Kulit Sensitif
innisfree cherry blossom glow jelly cream mencerahkan untuk kulit kusam,innisfree cherry blossom,jelly cream,,"glow, mencerahkan untuk kulit kusam",3,"Pelembap, Retinol, dan Perlindungan Kulit"
benton eyelash serum,benton,eyelash serum,,,1,Skincare Anti-Aging dan Brightening
wardah advanced solusi masalah kulit moisturizer day cream serum lightening bright renew you rose defense,wardah,"cream serum, moisturizer",rose,"advanced solusi masalah kulit, day, defense, lightening bright renew you",3,"Pelembap, Retinol, dan Perlindungan Kulit"
aizen barrier sun combo skin protect,aizen,,,barrier sun combo skin protect,3,"Pelembap, Retinol, dan Perlindungan Kulit"
avoskin deep body cleanser,avoskin,deep body cleanser,,,1,Skincare Anti-Aging dan Brightening
mary may cordata tea tree cleansing foam,mary may,foam,cordata tea tree,cleansing,4,Hidrasi dan Perawatan Kulit Sensitif
caudalie dark spot niacinamide moisturizer cream siang kulit bercahaya anti noda hitam,caudalie,moisturizer cream,niacinamide,"dark spot, siang kulit bercahaya anti noda hitam",,
dorskin cica gentle cleanser,dorskin,gentle cleanser,cica,,,
nutrishe acid exfoliating serum,nutrishe,serum,acid,exfoliating,,
azarine hydrasoothe sunscreen gel spf45 untuk kulit berminyak semua jenis,azarine,sunscreen gel,,"hydrasoothe, spf45 untuk kulit berminyak semua jenis",,
kose speedy cleansing oil makeup remover,kose,,,"makeup remover, speedy cleansing oil",4,Hidrasi dan Perawatan Kulit Sensitif
wardah renew you treatment essence menghidrasi kulit wajah,wardah,essence,,"menghidrasi kulit wajah, renew you treatment",4,Hidrasi dan Perawatan Kulit Sensitif
scarlett white jerawat essence toner,scarlett,essence toner,,white jerawat,,
lagom white moisturizer cream,lagom,moisturizer cream,,white,5,Brightening dengan Bahan Aktif
dermaster lavijue wrinkle care serum clabiane ultra daily sunscreen,"clabiane, dermaster lavijue","serum, sunscreen",,"ultra daily, wrinkle care",,
safi white expert cleanser toner,safi,cleanser toner,,white expert,3,"Pelembap, Retinol, dan Perlindungan Kulit"
glowlabs soothe and shoot spf,glowlabs,,,"soothe and shoot, spf",1,Skincare Anti-Aging dan Brightening
caudalie resveratrol lift firming serum anti - aging,caudalie,serum,resveratrol,"anti - aging, lift firming",4,Hidrasi dan Perawatan Kulit Sensitif
alpha arbutin powder,,,alpha arbutin powder,,,
medicin medicated,,medicin,,medicated,2,Pembersih Wajah dan Perawatan Jerawat
ultima ii clear white anti - aging face essence,ultima ii,face essence,,"anti - aging, clear white",1,Skincare Anti-Aging dan Brightening
torriden skin booster,torriden,,,skin booster,3,"Pelembap, Retinol, dan Perlindungan Kulit"
jumiso soothing cica aloe essence toner,jumiso,essence toner,cica aloe,soothing,3,"Pelembap, Retinol, dan Perlindungan Kulit"
isntree hyaluronic acid toner,isntree,toner,hyaluronic acid,,5,Brightening dengan Bahan Aktif
elvicto parfum,elvicto,parfum,,,,
heimish rose tone up sunscreen,heimish,tone up sunscreen,rose,,,
